UPC,PriceNet_$,,UPC
0888750363527,4.76,,00888750363527
0602527102092,5,,00602527102092
0889853169429,3.45,,00889853169429
0752830543973,9.1,,00752830543973
0829619175325,7.48,,00829619175325
0696859310195,8.25,,00696859310195
0889854747022,9.35,,00889854747022
0602547935915,7.7,,00602547935915
0602527677163,5,,00602527677163
0602557547092,11.39,,00602557547092
0075992731324,7.74,,00075992731324
0602557855784,10.44,,00602557855784
0731454221429,2.7,,00731454221429
0075597934939,13.26,,00075597934939
0190758048321,11.28,,00190758048321
0075678658464,10.09,,00075678658464
0045778756124,10.08,,00045778756124
0602537839810,5,,00602537839810
0602547136992,5,,00602547136992
0889854467517,24.99,,00889854467517
0810760031929,10.44,,00810760031929
0093624906223,12.48,,00093624906223
0816203015273,59.93,,00816203015273
0602527517001,5,,00602527517001
0763628171162,3.27,,00763628171162
0889854768126,9.35,,00889854768126
0093624905578,114.28,,00093624905578
0190758883618,23.2,,00190758883618
0083061109127,7.15,,00083061109127
0602527015620,5,,00602527015620
0075597927054,9.37,,00075597927054
0880882336226,7.63,,00880882336226
0602547906793,13.8,,00602547906793
0050087312879,20.71,,00050087312879
0736211851093,9.35,,00736211851093
0075678969447,15.32,,00075678969447
0075678683633,15.32,,00075678683633
0098787112214,15.3,,00098787112214
0008811139421,9.3,,00008811139421
0081227121327,8.64,,00081227121327
0602537165773,10.44,,00602537165773
0793018939324,8.25,,00793018939324
0008811167929,9.71,,00008811167929
0602577094927,17.63,,00602577094927
0093624904632,13.26,,00093624904632
0094636299624,5,,00094636299624
0602341021227,9.35,,00602341021227
0602557186444,13.19,,00602557186444
0602567721161,9.3,,00602567721161
0792755586020,6.67,,00792755586020
0602537140961,5,,00602537140961
0602537691708,13.8,,00602537691708
0880882226718,18.08,,00880882226718
0602557097658,23.1,,00602557097658
0602557618280,23.1,,00602557618280
0602557800227,8.25,,00602557800227
0602567013976,10.44,,00602567013976
0867141000197,8.73,,00867141000197
0614223116013,29.75,,00614223116013
0081227981693,19.14,,00081227981693
0081227934132,29.5,,00081227934132
0008811137526,37.5,,00008811137526
0602567714699,30.95,,00602567714699
0792755586525,7.15,,00792755586525
0793018360029,5,,00793018360029
0020286223436,11.23,,00020286223436
0050087314743,5,,00050087314743
0020286225126,9.9,,00020286225126
0600753550168,18.44,,00600753550168
0020286225072,10.55,,00020286225072
0602557889505,8.25,,00602557889505
0804879582410,13.92,,00804879582410
0810347013331,34.64,,00810347013331
0728706300025,12.6,,00728706300025
0602547609663,12.64,,00602547609663
0602547782960,10.44,,00602547782960
0731453181021,5,,00731453181021
0724359862422,8.56,,00724359862422
0094638550624,3.5,,00094638550624
0181475706229,12.54,,00181475706229
0093624978367,16.11,,00093624978367
5051300209124,15.32,,05051300209124
0602567165064,21.54,,00602567165064
0008817009322,4.4,,00008817009322
0081227992781,8.64,,00081227992781
0602567516934,10.44,,00602567516934
0803020173811,19.17,,00803020173811
0889854400828,9.35,,00889854400828
0656605213514,15.3,,00656605213514
0755174475320,3.14,,00755174475320
0889854802318,13,,00889854802318
0075678667626,15.32,,00075678667626
0075678660825,15.32,,00075678660825
0889854091217,12,,00889854091217
0093624912613,15.32,,00093624912613
9324690143849,9.13,,09324690143849
0729798774756,8.25,,00729798774756
0828768588925,7.04,,00828768588925
0888072395138,11.35,,00888072395138
0190295754327,8.64,,00190295754327
0752830288379,11.68,,00752830288379
8024391089026,8.54,,08024391089026
0886919603521,5.94,,00886919603521
0614511853521,10.12,,00614511853521
0602547054159,13.19,,00602547054159
0888072074699,9.27,,00888072074699
4050538429084,10.08,,04050538429084
0190295551575,8.55,,00190295551575
0018771850229,9.99,,00018771850229
0081227934194,13,,00081227934194
0817949014971,10.63,,00817949014971
4050538321111,12.6,,04050538321111
0045778763122,8.64,,00045778763122
0731453580022,10.44,,00731453580022
0731453125926,8.25,,00731453125926
0827969239728,5.94,,00827969239728
0889854424923,9.35,,00889854424923
0075678660795,13.26,,00075678660795
0876931018922,18.22,,00876931018922
0093624906742,10.09,,00093624906742
0793018929929,8.25,,00793018929929
0803020174917,22.92,,00803020174917
0039911044520,8.25,,00039911044520
0843930032716,8.25,,00843930032716
0888750877123,10.01,,00888750877123
0190758635125,13.24,,00190758635125
0827969428726,11.55,,00827969428726
0731451132629,3.5,,00731451132629
0093624505723,8.64,,00093624505723
0820413115128,4.95,,00820413115128
0888751738713,23.2,,00888751738713
0696859970146,9.1,,00696859970146
0817424018098,8.64,,00817424018098
0880882322021,11.35,,00880882322021
0181475705925,12.54,,00181475705925
0731454604529,8.25,,00731454604529
0602547656568,23.1,,00602547656568
0762184742625,9.35,,00762184742625
0720616265326,8.25,,00720616265326
0886977867927,11.55,,00886977867927
0886978020529,5.94,,00886978020529
0602557149425,11.39,,00602557149425
0602537514847,3.5,,00602537514847
0602547494719,11.39,,00602547494719
0602557771701,11.39,,00602557771701
0819873017622,7.83,,00819873017622
0602557980516,10.44,,00602557980516
0602557075366,8.25,,00602557075366
8809440338405,18.69,,08809440338405
0051497027568,7.7,,00051497027568
0602567569497,17.63,,00602567569497
0602537231805,10.44,,00602537231805
0008811184025,10.44,,00008811184025
0099923580027,18.48,,00099923580027
0602527067223,3.5,,00602527067223
0044006327723,9.3,,00044006327723
0602547444653,10.44,,00602547444653
0602557493597,7.25,,00602557493597
0602567252153,13.19,,00602567252153
0602577057922,11.39,,00602577057922
0012414141811,15,,00012414141811
0075596069021,8.64,,00075596069021
0791558442823,15.58,,00791558442823
0602527498034,11.39,,00602527498034
0075597934441,10.08,,00075597934441
0084418221721,2.75,,00084418221721
0602547168733,11.39,,00602547168733
0075597930603,10.6,,00075597930603
0602527154893,18.44,,00602527154893
0602567800187,7.15,,00602567800187
