ISBN,,,,SalesPrice,
5055382900559,1.495,,2,2.99,
5055136304954,1.495,,2,2.99,
9781783611119,3.995,,2,7.99,
,1.495,,2,2.99,
9781788881883,1.995,,2,3.99,
9780875011066,2.995,,2,5.99,
9780991341948,9.995,,2,19.99,
9781507201206,2.495,,2,4.99,
9781843795674,3.995,,2,7.99,
9780300208863,4.995,,2,9.99,
9781606060841,6.495,,2,12.99,
9783037681107,12.495,,2,24.99,
9780300207736,6.495,,2,12.99,
9780300217087,7.495,,2,14.99,
,1.995,,2,3.99,
,3.995,,2,7.99,
9781501164132,3.995,,2,7.99,
9781861084620,2.495,,2,4.99,
9780763663704,2.995,,2,5.99,
9781454704188,3.995,,2,7.99,
9780870708374,7.495,,2,14.99,
9781622269723,2.995,,2,5.99,
9780764954931,1.495,,2,2.99,
,4.995,,2,9.99,
,3.995,,2,7.99,
9780856676512,9.995,,2,19.99,
9780300161373,9.995,,2,19.99,
9781608875511,2.495,,2,4.99,
9781474857451,2.995,,2,5.99,
9781682980255,2.995,,2,5.99,
9780553418002,2.495,,2,4.99,
9781483083735,3.74,,2,7.48,
9780300194555,7.495,,2,14.99,
9780007549726,2.995,,2,5.99,
9781608630301,3.495,,2,6.99,
9781783616732,3.995,,2,7.99,
9780801898921,2.995,,2,5.99,
9781786646200,3.995,,2,7.99,
9781584235156,3.995,,2,7.99,
9783899555073,6.495,,2,12.99,
9781476730530,2.995,,2,5.99,
9781604681352,3.495,,2,6.99,
9780300219746,3.495,,2,6.99,
9780300164374,2.495,,2,4.99,
9788857207827,2.495,,2,4.99,
,3.995,,2,7.99,
,2.995,,2,5.99,
9781783613489,3.995,,2,7.99,
9781844063369,2.495,,2,4.99,
9780753724323,2.995,,2,5.99,
9783848008711,2.995,,2,5.99,
9780451475145,2.495,,2,4.99,
9781401950378,3.995,,2,7.99,
9781584234906,4.995,,2,9.99,
9781594770821,2.995,,2,5.99,
9781782214021,2.995,,2,5.99,
9780300170986,4.995,,2,9.99,
9781440348785,2.995,,2,5.99,
9781782431770,1.995,,2,3.99,
9781787002494,2.995,,2,5.99,
9780307263933,3.495,,2,6.99,
,1.495,,2,2.99,
9781585676316,2.995,,2,5.99,
9781785996283,1.995,,2,3.99,
,4.995,,2,9.99,
,1.995,,2,3.99,
9780300167887,3.495,,2,6.99,
9780300180619,3.995,,2,7.99,
9781844062560,2.495,,2,4.99,
9781421408521,3.495,,2,6.99,
9781440244223,2.995,,2,5.99,
9781481456548,2.495,,2,4.99,
9780764958892,1.995,,2,3.99,
9780300161618,2.495,,2,4.99,
9781787550193,3.995,,2,7.99,
9780811714617,3.995,,2,7.99,
9781632205841,3.995,,2,7.99,
9781906506254,4.995,,2,9.99,
,1.495,,2,2.99,
9780300214260,3.995,,2,7.99,
9781611801613,4.995,,2,9.99,
9781632205100,3.495,,2,6.99,
9781786647788,3.995,,2,7.99,
9780872901698,9.995,,2,19.99,
9781468310757,3.495,,2,6.99,
9781786641434,3.495,,2,6.99,
9781401250355,4.995,,2,9.99,
9781787550155,3.995,,2,7.99,
9780764969164,2.995,,2,5.99,
,0.995,,2,1.99,
9781534406148,2.495,,2,4.99,
9780062089434,3.495,,2,6.99,
9781784287047,1.995,,2,3.99,
,3.995,,2,7.99,
,0.995,,2,1.99,
9782904732775,4.995,,2,9.99,
9781844063239,2.495,,2,4.99,
9780956642035,3.495,,2,6.99,
9781786644916,4.995,,2,9.99,
9780764962042,2.995,,2,5.99,
9780300092226,4.995,,2,9.99,
9781883052423,3.495,,2,6.99,
9781843797371,2.995,,2,5.99,
9781906509415,7.495,,2,14.99,
9781782434146,2.995,,2,5.99,
9780870744891,3.495,,2,6.99,
9781614280781,9.995,,2,19.99,
9781783611973,3.995,,2,7.99,
9781783616848,3.495,,2,6.99,
9781864690019,1.495,,2,2.99,
